found_helpful,#comments,harvest_brand,harvest_product_description,publish_time,retailer_product_code,review_date,review_rating,review_text,review_title,top_reviewer_flag,upc,url,verified_purchase,vine_voice,manufacturer_response,manufacturer_response_text,parent_review,syndicated_from,direct_review_url,purchase_time,user_level,variants
,,"","自营 雀巢Nestle超级能恩 乳蛋白部分水解婴儿配方奶粉 1段（0-12个月）800克*12",,"945015838","2018-01-17T12:15:43","5","已经买过好多次了，很不错，口感跟超市的一样，包装也完全一样，扫码能查到宝贝，***比超市便宜，而且购买方便，要是能搞些活动，那就更好了",,,,"http://product.suning.com/0000000000/945015838.html",,,,,,,,,,
,,"","自营 雀巢Nestle超级能恩 乳蛋白部分水解婴儿配方奶粉 1段（0-12个月）800克*12",,"945015838","2018-01-19T12:34:36","5","***不能用券，***样，但还是苏宁便宜点，而且***没货了，还好有苏宁",,,,"http://product.suning.com/0000000000/945015838.html",,,,,,,,,,
,,"","自营 雀巢Nestle超级能恩 乳蛋白部分水解婴儿配方奶粉 1段（0-12个月）800克*12",,"945015838","2018-01-17T20:39:55","5","可以，和专卖店的一样",,,,"http://product.suning.com/0000000000/945015838.html",,,,,,,,,,
,,"","自营 雀巢Nestle超级能恩 乳蛋白部分水解婴儿配方奶粉 1段（0-12个月）800克*12",,"945015838","2018-01-17T19:30:23","5","宝贝爱喝 还会光顾",,,,"http://product.suning.com/0000000000/945015838.html",,,,,,,,,,
,,"","自营 雀巢Nestle超级能恩 乳蛋白部分水解婴儿配方奶粉 1段（0-12个月）800克*12",,"945015838","2018-01-16T10:51:16","5","宝宝吃了还行，下次还会买",,,,"http://product.suning.com/0000000000/945015838.html",,,,,,,,,,
,,"","自营 雀巢Nestle超级能恩 乳蛋白部分水解婴儿配方奶粉 1段（0-12个月）800克*12",,"945015838","2018-01-11T18:53:08","5","生产日期八个月，不算长，包装很严实，和店里买的一样，派送员很好",,,,"http://product.suning.com/0000000000/945015838.html",,,,,,,,,,
,,"","自营 雀巢Nestle超级能恩 乳蛋白部分水解婴儿配方奶粉 1段（0-12个月）800克*12",,"945015838","2018-01-15T12:18:45","5","一直在苏宁买，吃着放心",,,,"http://product.suning.com/0000000000/945015838.html",,,,,,,,,,
,,"","自营 雀巢Nestle超级能恩 乳蛋白部分水解婴儿配方奶粉 1段（0-12个月）800克*12",,"945015838","2018-01-15T09:51:54","5","老大小时一直喝，老二也在喝。",,,,"http://product.suning.com/0000000000/945015838.html",,,,,,,,,,
,,"","自营 雀巢Nestle超级能恩 乳蛋白部分水解婴儿配方奶粉 1段（0-12个月）800克*12",,"945015838","2018-01-14T13:05:31","5","奶粉不错，溶解很快，味道宝宝很喜欢！",,,,"http://product.suning.com/0000000000/945015838.html",,,,,,,,,,
,,"","自营 雀巢Nestle超级能恩 乳蛋白部分水解婴儿配方奶粉 1段（0-12个月）800克*12",,"945015838","2018-01-19T20:02:04","5","非常好",,,,"http://product.suning.com/0000000000/945015838.html",,,,,,,,,,
