store,substore,brand,stage,url,rpc,product_description,review_id,review_date,username,review_text,review_rating,variant_1,variant_2,variants,image_url
Tmall,gerber嘉宝旗舰店,Gerber,2段,https://detail.tmall.com/item.htm?id=564994852144,564994852144,Gerber嘉宝2段菠菜+豌豆+燕麦西梅营养米粉米糊 婴儿宝宝辅食罐装,343513764726.0,2018-03-21T13:47:59,t6,可以说是非常好了，每次活动买都很划算，宝宝也爱吃。凑字：近日，最高人民法院与国家发展改革委、国土资源部联合下发《关于对失信被执行人实施限制不动产交易惩戒措施的通知》（以下简称《通知》，共同对失信人员也就是我们平时近日，最高人民法院与国家发展改革委、国土资源部联合下发《关于对失信被执行人实施限制不动产交易惩戒措施的通知》（以下简称《通知》，共同对失信人员也就是我们平时所称的“老赖”，采取限制不动产交易的惩戒措施。所称的“老赖”，采取限制不动产交易的惩戒措施。近日，最高人民法院与国家发展改革委、国土资源部联合下发《关于对失信被执行人实施限制不动产交易惩戒措施的通知》（以下简称《通知》，共同对失信人员也就是我们平时所称的“老赖”，采取限制不动产交易的惩戒措施。,,,,,//img.alicdn.com/bao/uploaded/i1/0/TB2Y_CTbiCYBuNkHFCcXXcHtVXa_!!0-rate.jpg
JD,雀巢母婴京东自营旗舰店,NAN,4段,http://item.jd.com/1080961.html,1080961,雀巢（nestle）能恩 蜂蜜口味儿童配方奶粉 4段（3岁以上儿童适用）400克(新老包装随机发货),11339813272.0,2018-03-25T00:24:24,b6,几年了一直在用，孩子很喜欢,5,,,,
Tmall,天猫超市,Gerber,1段,https://chaoshi.detail.tmall.com/item.htm?id=14023444768,14023444768,Gerber嘉宝米粉1段营养米粉 225g 婴幼儿宝宝辅食-天猫超市-天猫Tmall.com-上天猫，就购了-理想生活上天猫,343057523000.0,2018-03-16 12:15:48,s贝,我儿子喜欢喝，下次还会买，就这个牌子了,,,,,
JD,雀巢母婴京东自营旗舰店,NAN,3段,http://item.jd.com/4712736.html,4712736,雀巢（nestle）能恩 幼儿配方奶粉 3段（12-36个月婴儿适用）900克（新包装）,11312973754.0,2018-03-15T19:51:08,cy,已经买一次了，品牌大，给力，，，宝宝爱喝,5,,,,http://img30.360buyimg.com/shaidan/s128x96_jfs/t16288/91/2434428480/125010/7e29c14d/5aaa5ee5N06f66b62.jpg
JD,嘉宝京东自营旗舰店,Gerber,2段,http://item.jd.com/255800.html,255800,嘉宝(Gerber ) 缤纷水果营养米粉二段(6个月至36个月适用) 225g,11352170451.0,2018-03-29T11:22:04,js,好,5,,,,http://img30.360buyimg.com/shaidan/s128x96_jfs/t17128/202/1134001508/139906/579d72e9/5abc61bcN75c0526f.jpghttp://img30.360buyimg.com/shaidan/s128x96_jfs/t17128/202/1134001508/139906/579d72e9/5abc61bcN75c0526f.jpg
JD,嘉宝京东自营旗舰店,Gerber,3段,http://item.jd.com/255802.html,255802,嘉宝(Gerber ) 燕麦营养米粉三段(8个月至36个月适用) 225g,11306561469.0,2018-03-13T16:32:48,ji,小孩一直吃这品牌米粉，大品牌，质量放心，小孩爱吃,5,,,,http://img30.360buyimg.com/shaidan/s128x96_jfs/t16447/320/2159962888/374120/45df64d4/5aa793d8Nd6796d8a.jpg
JD,雀巢母婴京东自营旗舰店,MAM,,http://item.jd.com/255778.html,255778,雀巢（nestle）孕产妇奶粉 妈妈配方奶粉 （孕妇产妇适用）900克,11321428454.0,2018-03-18T18:50:25,ja,味道挺好，用稍微热一点的开水冲开就好了，个人还是比较喜欢的,5,,,,http://img30.360buyimg.com/shaidan/s128x96_jfs/t17719/15/866836032/106666/f78ef26/5aae4470Naabe50fd.jpghttp://img30.360buyimg.com/shaidan/s128x96_jfs/t17719/15/866836032/106666/f78ef26/5aae4470Naabe50fd.jpg
JD,雀巢母婴京东自营旗舰店,NAN HA,1段,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11337546587.0,2018-03-24T10:02:07,j5,是正品孩子很喜欢喝，比超市便宜包装很完整,5,,,,http://img30.360buyimg.com/shaidan/s128x96_jfs/t17575/38/1036427975/91529/319a4c66/5ab5b19fN03526a8a.jpghttp://img30.360buyimg.com/shaidan/s128x96_jfs/t17575/38/1036427975/91529/319a4c66/5ab5b19fN03526a8a.jpg
Tmall,gerber嘉宝旗舰店,Gerber,2段,https://detail.tmall.com/item.htm?id=563351157118,563351157118,Gerber嘉宝米粉2段水果+蔬菜+混合谷物营养米粉米糊 婴儿辅食儿童-tmall.com天猫,343707297449.0,2018-03-22 23:59:57,t5,好评。一如既往的好。,,,,,
JD,嘉宝京东自营旗舰店,Gerber,3段,http://item.jd.com/4080239.html,4080239,嘉宝(Gerber )混合谷物营养米粉三段(8个月至36个月适用)225g,11320220962.0,2018-03-18T11:45:18,ja,一直都在喝，这会换包装了，有一筒塑料壳磕坏了，只能到旧筒里了，下次快递小心一点,5,,,,http://img30.360buyimg.com/shaidan/s128x96_jfs/t16255/19/2551669123/79312/198c531b/5ab25d78N4bb4003c.jpghttp://img30.360buyimg.com/shaidan/s128x96_jfs/t16255/19/2551669123/79312/198c531b/5ab25d78N4bb4003c.jpg
JD,雀巢母婴京东自营旗舰店,NAN,4段,https://item.jd.com/1080962.html,1080962,雀巢（nestle）能恩 蜂蜜口味儿童配方奶粉 4段（3岁以上儿童适用）900克(新老包装随机发货),11278287983.0,2018-03-03 21:48:08,大来,这次买的是新的包装，口味更好,5.0,4段900g,,,
Tmall,gerber嘉宝旗舰店,Gerber,1段,https://detail.tmall.com/item.htm?id=563008974246,563008974246,嘉宝Gerber胡萝卜营养米粉米糊225g罐装1阶段6个月初期-tmall.com天猫,343125622367.0,2018-03-17 13:17:21,y呦,好,,,,,
JD,雀巢母婴京东自营旗舰店,NAN HA,3段,http://item.jd.com/3849865.html,3849865,雀巢（nestle）超级能恩 幼儿配方奶粉 3段（12-36个月适用）800克（德国原装进口）（新老包装随机发货）,11349224535.0,2018-03-28T10:52:19,强3,感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验,5,,,,http://img30.360buyimg.com/shaidan/s128x96_jfs/t18742/174/1106391614/25893/8c53f2d2/5abb0361Nbb1dfef6.jpghttp://img30.360buyimg.com/shaidan/s128x96_jfs/t18742/174/1106391614/25893/8c53f2d2/5abb0361Nbb1dfef6.jpg
JD,嘉宝京东自营旗舰店,Gerber,1段,http://item.jd.com/1140667.html,1140667,嘉宝(Gerber ) 钙铁锌营养麦粉一段(辅食添加初期) 225g,11339679586.0,2018-03-24T22:57:23,j子,味道很香，浓浓的大米味,5,,,,
Tmall,gerber嘉宝旗舰店,Gerber,,https://detail.tmall.com/item.htm?id=562960624385,562960624385,嘉宝Gerber原味钙铁锌胡萝卜米粉225g*3罐组合套装辅食初期-tmall.com天猫,342440684897.0,2018-03-10 15:40:50,c6,不错，给宝宝吃了原味的。特别爱吃,,,,,
JD,雀巢母婴京东自营旗舰店,NAN HA,1段,https://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11289762790.0,2018-03-07 20:31:56,jd,大宝一直喝超级能恩，这二宝准备接着喝,5.0,超级能恩1段 800g,1.0,,
Tmall,雀巢母婴官方旗舰店,NAN,3段,https://detail.tmall.com/item.htm?id=533747959004,533747959004,【雀巢官方】雀巢能恩3 幼儿配方奶粉 3段（12-36个月）900克*6-tmall.com天猫,343032247765.0,2018-03-16 19:19:33,小8,很好的宝贝，能恩三段么么哒，会继续回购的，一如既往好的品质，好评好评好评好评好评好评，推荐给大家呦,,,,,
JD,雀巢官方专卖店,NAN,3段,http://item.jd.com/13741836484.html,13741836484,雀巢（NESTLE） 能恩 幼儿配方奶粉3段（12-36个月婴儿适用） 400g*1,11347329239.0,2018-03-27T16:35:35,j5,日期新鲜，孩子一直喝这个牌子的奶粉，比超市便宜不少，而且还是正品！,5,,,,http://img30.360buyimg.com/shaidan/s128x96_jfs/t19534/215/1073556728/273376/d5eabe90/5aba0257Nc14d6ecd.jpghttp://img30.360buyimg.com/shaidan/s128x96_jfs/t19534/215/1073556728/273376/d5eabe90/5aba0257Nc14d6ecd.jpg
JD,雀巢母婴京东自营旗舰店,NAN HA,2段,http://item.jd.com/4396142.html,4396142,雀巢（nestle）超级能恩 较大婴儿配方奶粉 2段（6-12个月适用）800克（德国原装进口）（新老包装随机发货）,11320650703.0,2018-03-18T14:17:28,似9,一直买到个男人，真的很爱小贵，278，最便宜的时候买的，218,5,,,,
