found_helpful,#comments,harvest_brand,harvest_product_description,publish_time,retailer_product_code,review_date,review_rating,review_text,review_title,top_reviewer_flag,upc,url,verified_purchase,vine_voice,manufacturer_response,manufacturer_response_text,parent_review,syndicated_from,direct_review_url,purchase_time,user_level,variants,review_id,user_id
,"","","雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）",,"4396232","2018-03-10T21:43:58","5","**京东自营的超级能恩一段奶粉，从来就不搞促销，平时有活动都跑到**会去购买",,,,"http://item.jd.com/4396232.html",,,,,,,,"2018-03-10 07:23:11","钻石会员",,"11298655393","随***6"
,"http://img30.360buyimg.com/shaidan/s128x96_jfs/t19687/314/816467023/127766/c7ac50ed/5aaa0694Nbefda4fb.jpg","","雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）",,"4396232","2018-03-15T06:36:34","5","270一桶便宜",,,,"http://item.jd.com/4396232.html",,,,,,,,"2018-03-05 08:59:42","金牌会员",,"11310832828","图***5"
,"http://img30.360buyimg.com/shaidan/s128x96_jfs/t19147/216/789228418/68435/a429ec92/5aa61d1cN2ee0a913.jpghttp://img30.360buyimg.com/shaidan/s128x96_jfs/t19147/216/789228418/68435/a429ec92/5aa61d1cN2ee0a913.jpg","","嘉宝(Gerber ) 婴幼儿米粉 宝宝辅食 原味营养米粉一段(辅食添加初期） 225g",,"255797","2018-03-12T14:05:08","5","6个月刚添加的辅食，很好",,,,"http://item.jd.com/255797.html",,,,,,,,"2018-01-29 17:07:25","金牌会员",,"11303141678","j***9"
,"http://img30.360buyimg.com/shaidan/s128x96_jfs/t15949/25/2422472780/629026/10efd414/5aaa4f8cN4efd5e74.jpghttp://img30.360buyimg.com/shaidan/s128x96_jfs/t15949/25/2422472780/629026/10efd414/5aaa4f8cN4efd5e74.jpg","","嘉宝(Gerber ) 婴幼儿米粉 宝宝辅食 有机原味营养米粉一段(辅食添加初期）- 加量装225g",,"6084935","2018-03-15T18:48:45","5","78一瓶，宝宝不喜欢吃，就贵了，",,,,"http://item.jd.com/6084935.html",,,,,,,,"2018-02-10 02:04:30","金牌会员",,"11312805176","c***6"
,"http://img30.360buyimg.com/shaidan/s128x96_jfs/t17881/126/730521774/102339/394f6407/5aa407edN0dc95416.jpghttp://img30.360buyimg.com/shaidan/s128x96_jfs/t17881/126/730521774/102339/394f6407/5aa407edN0dc95416.jpg","","雀巢（NESTLE） 超级能恩 幼儿配方奶粉3段（12-36个月适用）800克（新包装） 800g*2罐",,"13638853955","2018-03-11T00:29:35","5","?好奶粉都会好点没有的话可以接受失败等于零",,,,"http://item.jd.com/13638853955.html",,,,,,,,"2018-02-03 16:17:13","钻石会员",,"11298995786","三***买"
,"","","雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月）380克 德国原装进口（新老包装随机发货）",,"5285870","2018-03-15T19:56:56","5","bb过敏，转这奶粉试试。",,,,"http://item.jd.com/5285870.html",,,,,,,,"2018-03-11 22:00:15","钻石会员",,"11312991198","J***-"
,"","","嘉宝(Gerber )香蕉苹果营养米粉二段(6个月至36个月适用)225g",,"4857678","2018-03-10T20:33:47","5","DJ经常看参考参考v缕缕缕缕缕缕缕缕绿萝吕溜出来出来出来出来出来出来吃",,,,"http://item.jd.com/4857678.html",,,,,,,,"2018-03-08 12:24:57","PLUS会员",,"11298434454","j***x"
,"","","嘉宝(Gerber ) 番茄牛肉营养米粉三段(8个月至36个月适用) 225g",,"255803","2018-03-15T04:40:06","5","m以前买的别的牌子的米粉宝宝不吃 这个宝宝很喜欢吃",,,,"http://item.jd.com/255803.html",,,,,,,,"2018-03-09 10:21:42","PLUS会员",,"11310801078","j***e"
,"","","嘉宝(Gerber ) 婴幼儿米粉 宝宝辅食 混合蔬菜营养米粉三段(8个月至36个月适用) 225g",,"1240027","2018-03-14T01:05:23","5","N次回购，希望产品越做越好",,,,"http://item.jd.com/1240027.html",,,,,,,,"2018-03-09 10:04:47","银牌会员",,"11307828836","j***1"
,"","","雀巢（NESTLE） 能恩 幼儿配方奶粉 3段（12-36个月婴儿） 2罐装",,"12400757767","2018-03-10T22:58:10","5","n次购买了，孩子爱吃经济实惠，还会继续的",,,,"http://item.jd.com/12400757767.html",,,,,,,,"2018-02-17 08:32:14","银牌会员",,"11298851073","j***h"
,"","","雀巢（NESTLE） 能恩 幼儿配方奶粉 3段（12-36个月婴儿） 2罐装",,"12400757767","2018-03-10T22:59:08","5","n次购买了，孩子爱吃，价格实，还会继续的",,,,"http://item.jd.com/12400757767.html",,,,,,,,"2018-01-25 08:43:44","银牌会员",,"11298853876","j***h"
,"","","雀巢（nestle）超级能恩 较大婴儿配方奶粉 2段（6-12个月适用）800克（德国原装进口）（新老包装随机发货）",,"4396142","2018-03-11T09:29:23","5","N次购买了，是正品",,,,"http://item.jd.com/4396142.html",,,,,,,,"2018-03-10 20:22:59","钻石会员",,"11299370227","梦***1"
,"http://img30.360buyimg.com/shaidan/s128x96_jfs/t14686/164/2542072478/143624/e99deef6/5aa92bb6Ndff76667.jpghttp://img30.360buyimg.com/shaidan/s128x96_jfs/t14686/164/2542072478/143624/e99deef6/5aa92bb6Ndff76667.jpg","","雀巢（nestle）孕产妇奶粉 妈妈配方奶粉 （孕妇产妇适用）900克",,"255778","2018-03-14T21:11:51","5","www我么的摸摸摸无图PSPPSPPSPPSP",,,,"http://item.jd.com/255778.html",,,,,,,,"2018-02-13 14:00:04","PLUS会员",,"11310300357","松***饰"
,"http://img30.360buyimg.com/shaidan/s128x96_jfs/t17488/50/871782488/482573/9401cee8/5aaf9396N9c2224be.jpghttp://img30.360buyimg.com/shaidan/s128x96_jfs/t17488/50/871782488/482573/9401cee8/5aaf9396N9c2224be.jpg","","嘉宝(Gerber ) 钙铁锌营养麦粉一段(辅食添加初期) 225g",,"1140667","2018-03-10T17:23:41","5","【达人推荐】我能说维达抽纸这个超韧系列真是太好用了吗？用过那么多品牌的抽纸，这个最得我心！一大箱整整20包，每包120抽！本着负责任的态度，我专门做了荧光剂、湿水承重和燃烧试验，竟然可以放一把硬币都不破的！！当真惊呆我了！关键还特别柔软亲肤，小朋友擦脸都没问题！",,,,"http://item.jd.com/1140667.html",,,,,,,,"2018-03-02 13:24:40","银牌会员",,"11297891204","j***s"
