found_helpful,#comments,harvest_brand,harvest_product_description,publish_time,retailer_product_code,review_date,review_rating,review_text,review_title,top_reviewer_flag,upc,url,verified_purchase,vine_voice,manufacturer_response,manufacturer_response_text,parent_review,syndicated_from,direct_review_url,purchase_time,user_level,variants,review_id,user_id,review_image,source_path
,"","","Nestle/雀巢 超级能恩1段初生婴儿进口奶粉 800g/罐","","557305798317","2018-03-08T17:30:56","","2017年8月产。","",,"","https://chaoshi.detail.tmall.com/item.htm?id=557305798317",,,,,,,,,,"","342312733173","k***n","//img.alicdn.com/bao/uploaded/i4/0/TB2gQsLcCtYBeNjSspaXXaOOFXa_!!0-rate.jpg","/storage_server/ArchiveData/review_details/daily/CN/2018/03/27/RR.Tmall.cn/HTML/152"
,"","Nestle/雀巢","雀巢Nestle超级能恩3段800g*4婴幼儿配方牛奶粉宝宝德国原装进口","","556308588016","2018-03-09T12:37:22","","2017年9月生产的，两年保质期，挺好的，苏宁易购第二天就送到了，不用担心青黄不接。","",,"","https://detail.tmall.com/item.htm?id=556308588016",,,,,,,,,,"","342385967599","f***3","","/storage_server/ArchiveData/review_details/daily/CN/2018/03/27/RR.Tmall.cn/HTML/99"
,"","Nestle/雀巢","雀巢Nestle超级能恩3段800g婴儿幼儿配方牛奶粉宝宝德国原装进口","","564878985450","2018-03-09T12:37:22","","2017年9月生产的，两年保质期，挺好的，苏宁易购第二天就送到了，不用担心青黄不接。","",,"","https://detail.tmall.com/item.htm?id=564878985450",,,,,,,,,,"","342385967598","f***3","","/storage_server/ArchiveData/review_details/daily/CN/2018/03/27/RR.Tmall.cn/HTML/105"
,"前世一千次的回眸，才换得今生的一次擦肩而过。茫茫人海，我们能在网络结缘，不要因为快递影响了您的心情哦，我们会针对物流问题好好用心改进，争取下次让您开开心心购物、快快乐乐收包裹，定不负您所望！","Gerber/嘉宝","Gerber嘉宝米粉3段 宝宝鳕鱼蔬菜营养米粉米糊 婴儿辅食8-36个月","","563414185487","2018-03-05T19:09:56","","2月27买的 昨天才到货 快递太慢 太慢 太慢 幸好不是急着要吃 喂了要个碗 买了5罐 总体还不错吧","",,"","https://detail.tmall.com/item.htm?id=563414185487",,,,,,,,,,"","342049808425","执***伤","//img.alicdn.com/bao/uploaded/i2/0/TB2hUjbb4GYBuNjy0FnXXX5lpXa_!!0-rate.jpg","/storage_server/ArchiveData/review_details/daily/CN/2018/03/27/RR.Tmall.cn/HTML/80"
,"","Gerber/嘉宝","Gerber嘉宝米粉2段 南瓜+燕麦西梅+水果营养米粉米糊婴儿辅食桶装","","563063461843","2018-03-14T22:49:54","","3.8搞活动买的，比平常便宜不少","",,"","https://detail.tmall.com/item.htm?id=563063461843",,,,,,,,,,"","342909052576","莉***9","","/storage_server/ArchiveData/review_details/daily/CN/2018/03/27/RR.Tmall.cn/HTML/89"
,"","","Nestle/雀巢 超级能恩1段初生婴儿进口奶粉 800g/罐","","557305798317","2018-03-11T21:03:41","","3.8节活动价格比在妇婴店便宜很多，可惜不能一次性买很多还要用好多账号拍。","",,"","https://chaoshi.detail.tmall.com/item.htm?id=557305798317",,,,,,,,,,"","342566899930","彭***8","//img.alicdn.com/bao/uploaded/i2/0/TB2GdL1c1uSBuNjy1XcXXcYjFXa_!!0-rate.jpg | //img.alicdn.com/bao/uploaded/i3/0/TB2JAXEdnJYBeNjy1zeXXahzVXa_!!0-rate.jpg","/storage_server/ArchiveData/review_details/daily/CN/2018/03/27/RR.Tmall.cn/HTML/152"
,"","Gerber/嘉宝","嘉宝 营养配方米粉225g+嘉宝 燕麦配方营养米粉225g","","559060107295","2018-03-09T21:18:42","","38女王节给女儿买的嘉宝米粉，物流很快，第二天就收到了，是正品，非常好，赞，吃完再来买。","",,"","https://detail.tmall.com/item.htm?id=559060107295",,,,,,,,,,"","342359074899","r***n","//img.alicdn.com/bao/uploaded/i4/0/TB2_dujcMaTBuNjSszfXXXgfpXa_!!0-rate.jpg | //img.alicdn.com/bao/uploaded/i3/0/TB2CnbYcTlYBeNjSszcXXbwhFXa_!!0-rate.jpg | //img.alicdn.com/bao/uploaded/i4/0/TB27LiXayCYBuNkHFCcXXcHtVXa_!!0-rate.jpg | //img.alicdn.com/bao/uploaded/i3/0/TB2PsF0apooBKNjSZFPXXXa2XXa_!!0-rate.jpg","/storage_server/ArchiveData/review_details/daily/CN/2018/03/27/RR.Tmall.cn/HTML/125"
,"亲，您见谅，我们是新老包装随机发货的哦，不管是新包装还是老包装品质都是一样有保障的，您放心购买，亲有任何疑问可以随时联系我们在线客服，我们旗舰店会一直都保持着最好的状态等待为您服务~ 祝亲生活快乐。","Nestle/雀巢","【旗舰店】嘉宝Gerber水果蔬菜营养米粉米糊225g*2罐二三阶段","","544438110640","2018-03-12T19:35:31","","38女神节活动买的，这次换了新包装看的我好不习惯，我还是喜欢旧的包装，宝宝六个月开始一直在吃这个牌子，现在已经一周岁","",,"","https://detail.tmall.com/item.htm?id=544438110640",,,,,,,,,,"","342655952364","a***3","//img.alicdn.com/bao/uploaded/i3/0/TB2.nZvazQnBKNjSZSgXXXHGXXa_!!0-rate.jpg","/storage_server/ArchiveData/review_details/daily/CN/2018/03/27/RR.Tmall.cn/HTML/41"
,"","Nestle/雀巢","【雀巢官方】雀巢能恩3 幼儿配方奶粉 3段（12-36个月）900克*4","","529720140223","2018-03-11T12:23:19","","666666非常好，非常好，涨淘气值，以前不知道不知道浪费了多少淘气值，现在发现要好好评价，码好多字好多好多，我相信我可以的，你们也可以的，相信自己，使劲码字，反正花再多钱也涨不了淘气值，努力吧，大家一起加油，gogogo。","",,"","https://detail.tmall.com/item.htm?id=529720140223",,,,,,,,,,"","342449837820","r***浅","","/storage_server/ArchiveData/review_details/daily/CN/2018/03/27/RR.Tmall.cn/HTML/17"
,"","","Gerber嘉宝米粉3段混合蔬菜米粉 两罐新旧包装随机发","","534573615994","2018-03-08T17:25:46","","99两桶便宜不错，日期新鲜，宝宝最爱","",,"","https://chaoshi.detail.tmall.com/item.htm?id=534573615994",,,,,,,,,,"","342300785526","t***i","","/storage_server/ArchiveData/review_details/daily/CN/2018/03/27/RR.Tmall.cn/HTML/181"
